Package, Website
tidyverse, https://tidyverse.org
gapminder, https://cran.r-project.org/web/packages/gapminder/index.html
tidytext, https://cran.r-project.org/package=tidytext
jsonlite, https://cran.r-project.org/package=jsonlite
units, https://cran.r-project.org/package=units
rgdal, https://cran.r-project.org/package=rgdal
terra, https://cran.r-project.org/package=terra
sf, https://cran.r-project.org/package=sf
tmap, https://cran.r-project.org/package=tmap
tidycensus, https://walker-data.com/tidycensus/
readr, https://readr.tidyverse.org
textdata, https://cran.r-project.org/package=textdata
tidymodels, https://tidymodels.org
flexdashboard, https://pkgs.rstudio.com/flexdashboard
DT, https://pkgs.rstudio.com/DT
shiny, https://shiny.rstudio.com
Rcpp, https://cran.r-project.org/package=Rcpp
raster, https://cran.r-project.org/package=raster
